CNUM_PK,BRAND,MODEL,CARTYPE,2023_1,2023_2,2023_3,2023_4,2023_5,2023_6,2023_7,2023_8,2023_9,2023_10,2023_11,2023_12
166,9,ES,5,476,967,1003,648,546,825,568,589,465,52,562,661
167,9,NX,9,651,313,264,297,339,358,227,258,223,23,358,424
168,9,New RX,10,0,0,0,0,5,359,225,164,153,13,163,184
169,9,UX,9,18,51,97,66,68,76,41,54,596,63,79,76
170,9,LS,6,14,13,10,13,13,18,19,11,60,2,6,21
171,9,RZ,9,0,0,1,0,2,18,8,15,60,8,13,4
172,9,LC,7,0,0,1,1,1,1,0,0,40,0,2,0
173,9,RX,10,3,0,0,0,0,0,0,0,0,0,0,0
174,10,Cayenne,10,391,598,594,544,469,516,276,2,2,3,7,2
175,10,7,,124,194,161,169,146,137,192,278,170,80,87,80
176,10,Taycan,7,65,117,92,127,127,164,163,179,133,151,175,312
177,10,New Cayenne,10,0,0,0,0,0,0,0,256,140,294,347,378
178,10,911,7,62,101,101,136,147,136,105,174,119,99,60,62
179,10,Macan,10,57,74,142,96,35,93,150,164,90,44,31,35
180,10,718 Boxster,7,15,20,11,59,62,48,60,51,31,25,31,37
181,10,718 Cayman,7,12,19,16,15,19,15,7,7,9,9,14,7
182,11,QM6,9,877,938,1407,992,827,928,792,685,839,787,1034,756
183,11,XM3,8,1019,977,964,612,777,640,704,629,675,518,694,706
184,11,SM6,8,220,241,263,195,174,153,203,188,137,146,147,132
185,11,마스터,12,0,62,0,0,0,0,6,0,0,0,0,0
